,winner,rounds
0,dealer,1
1,player,2
2,player,1
3,dealer,1
4,player,2
5,player,1
6,player,1
7,dealer,1
8,dealer,1
9,player,2
10,dealer,1
11,player,1
12,player,2
13,dealer,1
14,dealer,1
15,dealer,1
16,player,1
17,player,2
18,player,2
19,dealer,1
20,dealer,1
21,player,2
22,player,2
23,player,1
24,player,1
25,player,2
26,player,2
27,dealer,1
28,player,1
29,player,1
30,player,1
31,player,1
32,dealer,1
33,player,2
34,player,1
35,dealer,1
36,dealer,1
37,player,2
38,player,1
39,player,2
40,player,1
41,player,1
42,dealer,1
43,dealer,1
44,player,1
45,player,2
46,dealer,1
47,dealer,1
48,dealer,1
49,player,2
50,dealer,1
51,player,1
52,player,1
53,dealer,1
54,dealer,1
55,player,2
56,dealer,1
57,dealer,1
58,player,2
59,player,2
60,player,1
61,player,2
62,dealer,1
63,player,1
64,player,2
65,dealer,1
66,player,2
67,player,2
68,player,2
69,player,1
70,player,2
71,dealer,1
72,player,1
73,dealer,1
74,player,2
75,dealer,1
76,dealer,1
77,dealer,1
78,dealer,1
79,dealer,1
80,dealer,1
81,player,2
82,player,1
83,player,1
84,player,1
85,dealer,1
86,player,2
87,player,1
88,player,1
89,player,1
90,player,2
91,player,2
92,player,2
93,dealer,1
94,dealer,1
95,player,2
96,player,2
97,player,1
98,player,2
99,player,1
100,dealer,1
101,player,2
102,dealer,1
103,player,1
104,player,1
105,player,2
106,player,2
107,player,2
108,dealer,1
109,player,2
110,player,1
111,dealer,1
112,player,1
113,player,1
114,player,2
115,player,1
116,dealer,1
117,player,1
118,player,1
119,player,2
120,player,1
121,dealer,1
122,player,1
123,dealer,1
124,player,2
125,player,2
126,player,1
127,player,2
128,player,1
129,player,2
130,dealer,1
131,player,1
132,player,1
133,player,1
134,dealer,1
135,player,2
136,player,2
137,player,1
138,player,2
139,dealer,1
140,player,1
141,player,1
142,dealer,1
143,player,2
144,player,2
145,dealer,1
146,player,1
147,player,1
148,player,1
149,dealer,1
150,player,1
151,dealer,1
152,dealer,1
153,player,1
154,dealer,1
155,player,2
156,dealer,1
157,player,1
158,dealer,1
159,dealer,1
160,dealer,1
161,player,2
162,dealer,1
163,dealer,1
164,player,2
165,dealer,1
166,player,1
167,player,1
168,player,1
169,dealer,1
170,dealer,1
171,player,1
172,player,1
173,player,1
174,dealer,1
175,player,2
176,dealer,1
177,player,1
178,player,2
179,dealer,1
180,dealer,1
181,player,2
182,player,1
183,player,1
184,player,1
185,player,2
186,dealer,1
187,player,1
188,dealer,1
189,player,2
190,dealer,1
191,dealer,1
192,player,1
193,dealer,1
194,player,2
195,player,1
196,dealer,1
197,player,2
198,player,1
199,player,1
200,player,1
201,player,1
202,dealer,1
203,dealer,1
204,player,1
205,player,1
206,player,1
207,player,2
208,player,1
209,player,2
210,player,2
211,player,1
212,dealer,1
213,player,1
214,player,1
215,player,2
216,dealer,1
217,player,2
218,dealer,1
219,player,2
220,player,1
221,player,2
222,player,2
223,dealer,1
224,player,1
225,dealer,1
226,player,2
227,player,1
228,player,2
229,player,2
230,player,1
231,dealer,1
232,dealer,1
233,player,2
234,player,2
235,player,2
236,player,1
237,player,2
238,dealer,1
239,dealer,1
240,dealer,1
241,dealer,1
242,dealer,1
243,dealer,1
244,player,2
245,player,1
246,dealer,1
247,player,2
248,dealer,1
249,dealer,1
250,player,1
251,dealer,1
252,player,2
253,player,1
254,player,1
255,player,2
256,dealer,1
257,player,1
258,player,1
259,dealer,1
260,player,1
261,player,1
262,player,2
263,player,2
264,dealer,1
265,player,1
266,player,1
267,player,1
268,player,1
269,dealer,1
270,player,2
271,player,2
272,player,2
273,dealer,1
274,dealer,1
275,dealer,1
276,player,2
277,dealer,1
278,dealer,1
279,player,1
280,player,1
281,player,1
282,dealer,1
283,dealer,1
284,player,2
285,player,1
286,player,1
287,dealer,1
288,player,2
289,player,1
290,dealer,1
291,dealer,1
292,dealer,1
293,player,1
294,player,1
295,player,2
296,dealer,1
297,dealer,1
298,player,1
299,player,2
300,player,2
301,dealer,1
302,dealer,1
303,player,2
304,player,1
305,dealer,1
306,dealer,1
307,dealer,1
308,player,2
309,dealer,1
310,player,2
311,dealer,1
312,player,2
313,dealer,1
314,player,2
315,player,1
316,player,2
317,player,1
318,player,2
319,player,1
320,dealer,1
321,dealer,1
322,dealer,1
323,dealer,1
324,player,2
325,player,1
326,player,1
327,player,1
328,dealer,1
329,dealer,1
330,player,1
331,dealer,1
332,player,2
333,player,2
334,player,2
335,dealer,1
336,dealer,1
337,player,1
338,player,1
339,dealer,1
340,player,1
341,dealer,1
342,dealer,1
343,dealer,1
344,dealer,1
345,player,2
346,player,2
347,player,2
348,dealer,1
349,player,2
350,player,1
351,dealer,1
352,player,2
353,player,2
354,player,2
355,player,2
356,player,2
357,dealer,1
358,player,1
359,player,1
360,dealer,1
361,player,2
362,player,2
363,dealer,1
364,player,2
365,player,2
366,player,2
367,dealer,1
368,dealer,1
369,player,2
370,player,1
371,player,2
372,dealer,1
373,player,1
374,dealer,1
375,dealer,1
376,dealer,1
377,player,2
378,player,2
379,player,1
380,dealer,1
381,dealer,1
382,player,2
383,player,1
384,player,2
385,player,2
386,dealer,1
387,player,2
388,dealer,1
389,player,2
390,player,2
391,player,1
392,dealer,1
393,player,1
394,dealer,1
395,dealer,1
396,player,2
397,player,2
398,player,2
399,dealer,1
400,player,2
401,player,1
402,player,2
403,player,1
404,player,1
405,player,1
406,player,1
407,player,2
408,player,2
409,player,2
410,player,2
411,dealer,1
412,player,1
413,dealer,1
414,dealer,1
415,dealer,1
416,dealer,1
417,player,1
418,player,1
419,dealer,1
420,dealer,1
421,player,1
422,player,2
423,dealer,1
424,player,2
425,dealer,1
426,player,1
427,player,2
428,player,2
429,dealer,1
430,dealer,1
431,player,2
432,player,2
433,dealer,1
