,winner,rounds
0,player,1
1,player,2
2,player,2
3,player,2
4,player,3
5,player,1
6,player,3
7,player,1
8,player,1
9,player,2
10,player,1
11,player,3
12,player,2
13,player,2
14,player,3
15,player,2
16,player,2
17,player,1
18,player,2
19,player,2
20,player,3
21,player,2
22,player,2
23,player,2
24,player,3
25,player,1
26,player,2
27,player,1
28,player,2
29,player,1
30,player,1
31,player,2
32,player,1
33,player,2
34,player,3
35,player,2
36,player,2
37,player,2
38,player,1
39,player,1
40,player,1
41,player,2
42,player,3
43,player,3
44,player,2
45,player,3
46,player,3
47,player,1
48,player,2
49,player,2
50,player,2
51,player,2
52,player,1
53,player,2
54,player,1
55,player,2
56,player,2
57,player,1
58,player,1
59,player,2
60,player,2
61,player,1
62,player,2
63,player,2
64,player,3
65,player,3
66,player,2
67,player,2
68,player,3
69,player,1
70,player,2
71,player,1
72,player,1
73,player,3
74,player,1
75,player,2
76,player,3
77,player,2
78,player,2
79,player,2
80,player,3
81,player,3
82,player,1
83,player,2
84,player,2
85,player,2
86,player,2
87,player,2
88,player,2
89,player,1
90,player,2
91,player,1
92,player,1
93,player,2
94,player,3
95,player,2
96,player,3
97,player,2
98,player,3
99,player,2
100,player,2
101,player,1
102,player,2
103,player,2
104,player,1
105,player,3
106,player,2
107,player,1
108,player,3
109,player,3
110,player,2
111,player,2
112,player,2
113,player,2
114,player,2
115,player,3
116,player,2
117,player,3
118,player,3
119,player,2
120,player,3
121,player,2
122,player,3
123,player,1
124,player,2
125,player,3
126,player,1
127,player,1
128,player,2
129,player,1
130,player,1
131,player,2
132,player,2
133,player,2
134,player,2
135,player,1
136,player,1
137,player,3
138,player,2
139,player,3
140,player,1
141,player,1
142,player,1
143,player,1
144,player,1
145,player,2
146,player,1
147,player,2
148,player,1
149,player,1
150,player,2
151,player,2
152,player,3
153,player,1
154,player,2
155,player,3
156,player,2
157,player,2
158,player,2
159,player,1
160,player,1
161,player,2
162,player,2
163,player,2
164,player,2
165,player,2
166,player,1
167,player,2
168,player,2
169,player,2
170,player,2
171,player,2
172,player,1
173,player,1
174,player,2
175,player,2
176,player,1
177,player,2
178,player,2
179,player,1
180,player,2
181,player,2
182,player,3
183,player,1
184,player,2
185,player,1
186,player,3
187,player,2
188,player,1
189,player,1
190,player,1
191,player,2
192,player,1
193,player,1
194,player,3
195,player,1
196,player,2
197,player,1
198,player,1
199,player,3
200,player,3
201,player,2
202,player,2
203,player,1
204,player,2
205,player,1
206,player,2
207,player,2
208,player,2
209,player,2
210,player,2
211,player,2
212,player,3
213,player,1
214,player,1
215,player,2
216,player,2
217,player,1
218,player,2
219,player,3
220,player,1
221,player,2
222,player,3
223,player,2
224,player,1
225,player,1
226,player,2
227,player,1
228,player,2
229,player,1
230,player,2
231,player,1
232,player,2
233,player,2
234,player,2
235,player,2
236,player,2
237,player,1
238,player,2
239,player,2
240,player,2
241,player,2
242,player,1
243,player,1
244,player,2
245,player,2
246,player,2
247,player,2
248,player,3
249,player,2
250,player,2
251,player,2
252,player,1
253,player,3
254,player,3
255,player,2
256,player,1
257,player,2
258,player,1
259,player,3
260,player,3
261,player,1
262,player,2
263,player,1
264,player,2
265,player,2
266,player,2
267,player,2
268,player,1
269,player,1
270,player,3
271,player,2
272,player,2
273,player,1
274,player,2
275,player,2
276,player,3
277,player,2
278,player,2
279,player,1
280,player,2
281,player,3
282,player,2
283,player,3
284,player,1
285,player,1
286,player,1
287,player,1
288,player,1
289,player,2
290,player,3
291,player,2
292,player,1
293,player,2
294,player,2
295,player,2
296,player,3
297,player,2
298,player,2
299,player,2
300,player,2
301,player,2
302,player,2
303,player,3
304,player,1
305,player,3
306,player,1
307,player,1
308,player,2
309,player,2
310,player,2
311,player,3
312,player,2
313,player,3
314,player,1
315,player,2
316,player,2
317,player,2
318,player,2
319,player,1
320,player,1
321,player,2
322,player,2
323,player,1
324,player,2
325,player,2
326,player,2
327,player,2
328,player,2
329,player,2
330,player,1
331,player,2
332,player,1
333,player,3
334,player,3
335,player,3
336,player,1
337,player,2
338,player,2
339,player,1
340,player,2
341,player,2
342,player,3
343,player,3
344,player,2
345,player,3
346,player,2
347,player,1
348,player,1
349,player,1
350,player,2
351,player,2
352,player,2
353,player,1
354,player,1
355,player,2
356,player,3
357,player,1
358,player,1
359,player,2
360,player,2
361,player,3
362,player,2
363,player,3
364,player,2
365,player,3
366,player,2
367,player,2
368,player,2
369,player,1
370,player,2
371,player,1
372,player,2
373,player,2
374,player,2
375,player,1
376,player,2
377,player,2
378,player,3
379,player,1
380,player,2
381,player,2
382,player,2
383,player,1
384,player,2
385,player,3
386,player,1
387,player,2
