,winner,rounds
0,player,2
1,player,1
2,dealer,1
3,player,3
4,player,2
5,dealer,1
6,player,2
7,player,2
8,player,1
9,dealer,1
10,dealer,1
11,dealer,1
12,dealer,1
13,player,2
14,player,3
15,player,2
16,player,2
17,player,2
18,dealer,1
19,player,2
20,player,1
21,player,1
22,player,2
23,player,2
24,player,1
25,dealer,1
26,player,1
27,dealer,1
28,player,2
29,player,1
30,dealer,1
31,player,2
32,dealer,1
33,dealer,1
34,dealer,1
35,dealer,1
36,player,1
37,player,2
38,player,2
39,player,2
40,player,1
41,player,1
42,player,2
43,player,2
44,dealer,1
45,player,2
46,dealer,1
47,dealer,1
48,player,2
49,player,1
50,dealer,1
51,player,1
52,player,1
53,dealer,1
54,dealer,1
55,dealer,1
56,player,1
57,player,3
58,player,3
59,player,2
60,player,2
61,player,2
62,player,2
63,dealer,1
64,dealer,3
65,dealer,1
66,dealer,1
67,dealer,1
68,player,2
69,player,2
70,player,2
71,player,3
72,player,2
73,player,2
74,player,1
75,player,1
76,player,1
77,player,1
78,player,3
79,player,2
80,player,1
81,dealer,3
82,player,1
83,dealer,1
84,dealer,3
85,player,1
86,dealer,1
87,dealer,1
88,player,1
89,player,3
90,dealer,1
91,player,1
92,player,2
93,dealer,1
94,player,1
95,player,1
96,player,1
97,player,2
98,player,2
99,dealer,1
100,player,2
101,player,2
102,dealer,1
103,dealer,1
104,player,2
105,player,3
106,player,2
107,dealer,3
108,player,3
109,player,1
110,dealer,1
111,player,2
112,player,2
113,player,2
114,player,1
115,dealer,1
116,dealer,1
117,player,1
118,dealer,1
119,player,2
120,dealer,1
121,player,2
122,dealer,1
123,player,3
124,player,2
125,player,2
126,dealer,1
127,player,2
128,player,2
129,player,1
130,dealer,1
131,dealer,3
132,dealer,1
133,dealer,1
134,player,3
135,player,3
136,player,1
137,player,2
138,dealer,1
139,player,2
140,player,2
141,player,1
142,player,1
143,player,3
144,player,1
145,player,1
146,dealer,1
147,player,2
148,dealer,1
149,player,1
150,player,1
151,player,2
152,player,2
153,player,2
154,dealer,1
155,player,1
156,player,2
157,player,2
158,player,3
159,dealer,1
160,dealer,1
161,player,1
162,dealer,1
163,dealer,3
164,dealer,1
165,player,2
166,player,1
167,player,1
168,player,1
169,player,2
170,player,2
171,dealer,1
172,player,2
173,player,1
174,player,1
175,player,1
176,dealer,1
177,player,1
178,dealer,3
179,player,3
180,dealer,1
181,player,2
182,dealer,1
183,dealer,1
184,player,3
185,player,2
186,player,1
187,player,1
188,player,2
189,player,1
190,player,2
191,player,1
192,player,2
193,player,2
194,player,2
195,player,1
196,player,1
197,player,1
198,player,1
199,player,2
200,player,1
201,player,2
202,player,1
203,player,1
204,player,1
205,dealer,3
206,player,2
207,player,1
208,player,1
209,player,1
210,player,1
211,dealer,1
212,player,2
213,player,1
214,player,2
215,player,1
216,player,1
217,player,2
218,player,1
219,dealer,1
220,player,1
221,player,2
222,player,2
223,player,1
224,player,2
225,player,1
226,player,2
227,player,3
228,player,2
229,player,1
230,dealer,1
231,player,1
232,player,1
233,player,1
234,player,1
235,dealer,3
236,player,2
237,player,1
238,dealer,1
239,player,3
240,player,2
241,player,2
242,player,1
243,player,2
244,player,2
245,player,2
246,dealer,1
247,dealer,1
248,player,2
249,player,1
250,player,2
251,player,2
252,player,1
253,dealer,1
254,dealer,1
255,player,2
256,dealer,1
257,dealer,1
258,player,1
259,dealer,1
260,dealer,1
261,player,1
262,player,1
263,player,2
264,player,1
265,player,2
266,player,1
267,player,3
268,player,2
269,player,1
270,player,2
271,player,3
272,player,1
273,player,2
274,dealer,1
275,player,2
276,player,2
277,player,1
278,player,1
279,dealer,3
280,player,1
281,player,2
282,player,2
283,dealer,1
284,player,2
285,player,1
286,player,2
287,player,2
288,dealer,1
289,player,2
290,player,1
291,player,2
292,dealer,1
293,player,1
294,dealer,1
295,dealer,1
296,player,2
297,dealer,1
298,player,2
299,player,3
300,player,1
301,dealer,1
302,player,1
303,dealer,1
304,player,2
305,player,2
306,dealer,1
307,player,2
308,player,2
309,player,2
310,player,1
311,player,2
312,player,1
313,dealer,1
314,dealer,1
315,player,1
316,dealer,1
317,dealer,1
318,dealer,1
319,dealer,1
320,player,1
321,player,1
322,player,2
323,player,2
324,player,1
325,player,2
326,player,3
327,player,1
328,dealer,1
329,dealer,1
330,dealer,1
331,dealer,3
332,dealer,1
333,player,2
334,player,2
335,player,3
336,dealer,1
337,player,2
338,player,1
339,dealer,1
340,player,2
341,player,2
342,player,2
343,dealer,1
344,dealer,1
345,player,1
346,dealer,1
347,player,1
348,player,2
349,player,2
350,player,1
351,player,3
352,player,2
353,player,2
354,player,1
355,dealer,1
356,dealer,1
357,dealer,1
358,player,1
359,player,2
360,player,2
361,dealer,1
362,player,3
363,dealer,1
364,dealer,1
365,player,2
366,player,1
367,dealer,3
368,player,2
369,dealer,1
370,player,2
371,player,2
372,player,2
373,dealer,1
374,dealer,1
375,player,2
376,player,1
377,dealer,1
378,player,2
379,dealer,1
380,dealer,1
381,player,3
382,player,2
383,dealer,1
384,player,1
385,player,1
386,dealer,1
387,player,1
388,player,2
389,player,1
390,player,2
391,player,2
392,player,1
393,player,1
394,player,1
395,player,2
396,player,1
397,player,1
398,player,1
399,player,1
400,player,1
401,dealer,1
402,player,2
403,player,1
404,player,2
405,dealer,1
406,dealer,1
407,dealer,1
408,dealer,3
409,dealer,1
410,dealer,1
411,player,1
412,dealer,1
413,dealer,1
414,dealer,1
415,player,1
416,player,1
417,player,2
418,player,2
419,player,2
420,dealer,1
421,player,2
422,player,1
423,player,2
424,dealer,1
425,player,1
426,player,1
427,dealer,1
428,dealer,1
429,player,3
430,player,1
431,player,1
432,dealer,3
433,player,2
434,player,2
435,player,1
436,player,1
437,player,2
438,player,1
439,dealer,1
440,player,1
441,player,2
442,player,1
443,player,2
444,player,1
445,dealer,1
446,player,2
447,player,2
448,dealer,1
449,dealer,1
450,player,1
451,player,1
452,player,2
453,player,2
454,dealer,1
455,dealer,1
456,player,2
457,player,2
458,player,2
459,player,1
460,player,1
461,player,1
462,player,2
463,player,2
464,player,1
465,player,2
466,player,2
467,dealer,1
468,dealer,3
469,dealer,1
470,dealer,1
471,player,1
472,player,2
473,player,1
474,player,1
475,dealer,1
476,dealer,1
477,dealer,1
478,dealer,3
479,dealer,1
480,player,1
481,player,1
482,player,2
483,player,2
484,player,1
485,dealer,1
486,player,2
487,dealer,1
488,player,1
489,player,1
490,player,1
491,player,3
492,dealer,1
493,player,2
494,player,1
495,player,3
496,dealer,1
497,player,2
498,player,2
499,player,1
500,dealer,1
501,dealer,1
502,dealer,1
503,player,2
504,player,1
505,player,1
506,player,1
507,dealer,1
508,player,2
509,dealer,1
510,dealer,1
511,player,1
512,player,2
513,dealer,1
514,player,2
515,player,2
516,dealer,1
517,dealer,1
518,dealer,3
519,dealer,3
520,dealer,1
521,player,2
522,player,1
523,player,1
524,player,2
525,player,3
526,player,1
527,player,2
528,player,2
529,dealer,1
530,dealer,1
531,player,2
532,dealer,1
533,player,1
534,dealer,3
535,dealer,1
536,player,1
537,dealer,3
538,player,2
539,dealer,1
540,player,2
541,dealer,1
542,player,1
543,player,2
544,player,2
545,dealer,1
546,player,1
547,player,2
548,player,2
549,player,3
550,player,1
551,dealer,1
552,player,1
553,player,2
554,dealer,1
555,dealer,1
556,dealer,1
557,dealer,1
558,player,1
559,player,1
560,player,1
561,dealer,1
562,player,1
563,player,2
564,player,2
565,dealer,1
566,dealer,1
567,player,1
568,player,1
569,player,1
570,dealer,1
571,dealer,1
572,dealer,1
573,player,1
574,player,1
575,player,2
576,player,2
577,player,2
578,dealer,1
579,player,2
580,dealer,1
581,player,2
582,player,2
583,player,2
584,player,1
585,player,1
586,player,2
587,player,2
588,dealer,1
589,player,1
590,player,1
591,player,2
592,dealer,1
593,player,3
594,player,1
595,player,2
596,dealer,1
597,player,1
598,player,1
599,dealer,1
600,player,2
601,dealer,1
602,player,2
603,player,2
604,player,2
605,player,1
606,dealer,1
607,dealer,1
608,player,1
609,player,2
610,player,1
611,player,2
612,player,2
613,dealer,1
614,player,2
615,player,2
616,dealer,1
617,player,2
618,dealer,1
619,player,3
620,dealer,1
621,dealer,1
622,player,2
623,player,1
624,player,1
625,dealer,1
626,dealer,3
627,player,1
628,player,1
629,dealer,1
630,player,1
631,dealer,1
632,player,1
633,player,1
634,dealer,1
635,player,1
636,player,2
637,dealer,1
638,player,2
639,dealer,1
640,dealer,1
641,dealer,1
642,dealer,1
643,player,3
644,player,1
645,player,2
646,player,1
647,dealer,1
648,player,2
649,player,2
650,player,2
651,player,1
652,player,2
653,player,2
654,dealer,1
655,player,1
656,dealer,1
657,player,2
658,player,2
659,player,2
660,dealer,1
661,player,3
662,player,2
663,player,2
664,dealer,1
665,player,2
666,player,2
667,player,1
668,dealer,1
669,player,2
670,player,2
671,player,1
672,player,1
673,player,2
674,dealer,1
675,player,2
676,dealer,1
677,player,2
678,dealer,1
679,dealer,1
680,player,3
681,dealer,3
682,player,1
683,dealer,3
684,player,2
685,player,1
686,player,1
687,dealer,1
688,player,1
689,player,2
690,player,2
691,player,1
692,player,2
693,player,3
694,player,2
695,dealer,1
696,player,1
697,player,2
698,dealer,1
699,dealer,1
700,player,1
701,player,1
702,dealer,3
703,player,1
704,player,2
705,player,2
706,player,1
707,dealer,1
708,player,3
709,player,3
710,player,2
711,player,2
712,player,1
713,player,1
714,dealer,3
715,dealer,1
716,dealer,3
717,player,1
718,player,1
719,dealer,1
720,player,1
721,player,3
722,dealer,1
723,player,3
724,player,1
725,player,2
726,player,2
727,player,1
728,dealer,1
729,player,2
730,dealer,3
731,player,2
732,player,1
733,player,2
734,dealer,3
735,player,1
736,dealer,1
737,player,1
738,dealer,1
739,player,1
740,player,2
741,player,1
742,player,2
743,player,1
744,player,2
745,player,2
746,player,1
747,player,1
748,player,1
749,player,1
750,dealer,1
751,dealer,1
752,player,1
753,dealer,3
754,player,2
755,player,1
756,player,2
757,player,2
758,player,1
759,dealer,3
760,dealer,1
761,dealer,1
762,player,1
763,dealer,1
764,player,2
765,player,3
766,player,2
767,player,1
768,player,2
769,player,2
770,dealer,1
771,player,1
772,player,2
773,player,1
774,player,2
775,dealer,1
776,dealer,3
777,player,2
778,player,1
779,player,2
780,player,2
781,dealer,1
782,player,1
783,dealer,1
784,dealer,1
785,player,1
786,player,2
787,dealer,1
788,player,2
789,player,1
790,player,1
791,dealer,1
792,player,3
793,dealer,1
794,player,2
795,dealer,1
796,player,1
797,player,2
798,player,2
799,player,2
800,player,3
801,player,1
802,player,2
803,dealer,1
804,player,2
805,dealer,1
806,player,2
807,player,1
808,player,1
809,dealer,3
810,player,2
811,dealer,1
812,player,2
813,dealer,1
814,dealer,1
815,player,2
816,dealer,1
817,player,1
818,player,2
819,dealer,1
820,dealer,1
821,player,1
822,player,1
823,player,1
824,dealer,3
825,player,2
826,dealer,1
827,player,1
828,player,2
829,player,1
830,player,1
831,player,1
832,player,2
833,dealer,1
834,player,2
835,player,2
836,dealer,1
837,player,2
838,player,2
839,player,3
