eval_i,winner,strategy,total,rounds
1,player,1,363,2
1,dealer,1,335,1
1,dealer,1,158,3
1,player,1,144,3
1,dealer,2,173,2
1,player,2,344,1
1,player,2,152,3
1,dealer,2,82,3
1,player,2,74,3
1,player,2,175,2
1,dealer,3,48,3
1,player,3,165,1
1,dealer,3,154,1
1,dealer,3,55,3
1,dealer,3,91,2
1,player,3,33,3
1,player,3,88,2
1,player,3,90,2
1,player,3,38,3
1,player,3,47,3
1,dealer,3,81,2
1,dealer,3,35,3
1,dealer,3,42,3
1,player,3,33,3
1,dealer,4,337,1
1,dealer,4,342,3
1,dealer,4,321,2
2,player,1,169,3
2,dealer,1,333,1
2,dealer,1,164,3
2,player,1,334,2
2,player,2,329,1
2,player,2,155,2
2,player,2,181,3
2,dealer,2,93,3
2,player,2,82,3
2,dealer,2,160,2
2,dealer,3,49,3
2,player,3,66,2
2,dealer,3,161,1
2,dealer,3,83,2
2,player,3,43,3
2,dealer,3,86,2
2,player,3,187,1
2,dealer,3,46,3
2,dealer,3,31,3
2,player,3,68,2
2,player,3,44,3
2,player,3,48,3
2,player,3,47,3
2,dealer,3,41,3
2,dealer,4,324,1
2,dealer,4,339,3
2,dealer,4,337,2
3,dealer,1,333,1
3,player,1,320,2
3,dealer,1,172,3
3,player,1,175,3
3,dealer,2,155,2
3,player,2,325,1
3,dealer,2,71,3
3,player,2,178,3
3,player,2,176,2
3,player,2,95,3
3,dealer,3,34,3
3,dealer,3,155,1
3,dealer,3,96,2
3,dealer,3,37,3
3,player,3,38,3
3,player,3,168,1
3,dealer,3,77,2
3,player,3,79,2
3,player,3,42,3
3,dealer,3,45,3
3,player,3,81,2
3,dealer,3,55,3
3,player,3,59,3
3,player,3,34,3
3,dealer,4,337,3
3,dealer,4,359,2
3,dealer,4,304,1
4,player,1,338,2
4,player,1,156,3
4,dealer,1,177,3
4,dealer,1,329,1
4,dealer,2,164,2
4,player,2,157,3
4,dealer,2,85,3
4,player,2,175,2
4,player,2,87,3
4,player,2,332,1
4,player,3,97,2
4,player,3,82,2
4,dealer,3,74,2
4,player,3,179,1
4,dealer,3,84,2
4,dealer,3,48,3
4,dealer,3,37,3
4,dealer,3,46,3
4,dealer,3,36,3
4,dealer,3,149,1
4,player,3,40,3
4,player,3,38,3
4,player,3,51,3
4,player,3,39,3
4,dealer,4,335,1
4,dealer,4,320,3
4,dealer,4,345,2
5,player,1,163,3
5,player,1,342,2
5,dealer,1,177,3
5,dealer,1,318,1
5,player,2,358,1
5,dealer,2,163,2
5,player,2,165,3
5,player,2,175,2
5,player,2,68,3
5,dealer,2,71,3
5,player,3,69,2
5,dealer,3,74,2
5,player,3,37,3
5,dealer,3,38,3
5,dealer,3,38,3
5,player,3,176,1
5,player,3,47,3
5,dealer,3,190,1
5,dealer,3,50,3
5,player,3,80,2
5,dealer,3,34,3
5,player,3,35,3
5,dealer,3,86,2
5,player,3,46,3
5,dealer,4,324,1
5,dealer,4,329,2
5,dealer,4,347,3
6,dealer,1,176,3
6,player,1,158,3
6,player,1,326,2
6,dealer,1,340,1
6,player,2,160,2
6,player,2,160,3
6,dealer,2,188,2
6,player,2,333,1
6,player,2,68,3
6,dealer,2,91,3
6,dealer,3,43,3
6,dealer,3,30,3
6,player,3,36,3
6,player,3,83,2
6,dealer,3,84,2
6,dealer,3,152,1
6,dealer,3,88,2
6,player,3,177,1
6,dealer,3,40,3
6,player,3,44,3
6,player,3,83,2
6,player,3,52,3
6,dealer,3,47,3
6,player,3,41,3
6,dealer,4,325,2
6,dealer,4,334,1
6,dealer,4,341,3
7,player,1,325,2
7,dealer,1,354,1
7,player,1,167,3
7,dealer,1,154,3
7,dealer,2,95,3
7,player,2,347,1
7,player,2,73,3
7,player,2,182,2
7,player,2,153,3
7,dealer,2,150,2
7,dealer,3,175,1
7,dealer,3,90,2
7,player,3,77,2
7,player,3,46,3
7,dealer,3,42,3
7,dealer,3,40,3
7,dealer,3,32,3
7,dealer,3,49,3
7,player,3,155,1
7,dealer,3,85,2
7,player,3,42,3
7,player,3,94,2
7,player,3,31,3
7,player,3,42,3
7,dealer,4,338,1
7,dealer,4,312,3
7,dealer,4,350,2
8,player,1,306,2
8,dealer,1,354,1
8,dealer,1,174,3
8,player,1,166,3
8,player,2,83,3
8,player,2,332,1
8,player,2,162,2
8,player,2,169,3
8,dealer,2,168,2
8,dealer,2,86,3
8,dealer,3,72,2
8,player,3,85,2
8,dealer,3,83,2
8,player,3,162,1
8,player,3,49,3
8,dealer,3,34,3
8,dealer,3,167,1
8,dealer,3,46,3
8,player,3,31,3
8,player,3,41,3
8,player,3,50,3
8,player,3,89,2
8,dealer,3,49,3
8,dealer,3,42,3
8,dealer,4,313,1
8,dealer,4,348,2
8,dealer,4,339,3
9,dealer,1,327,1
9,player,1,175,3
9,player,1,332,2
9,dealer,1,166,3
9,player,2,178,2
9,player,2,76,3
9,player,2,309,1
9,dealer,2,176,2
9,player,2,170,3
9,dealer,2,91,3
9,dealer,3,179,1
9,player,3,85,2
9,dealer,3,40,3
9,player,3,43,3
9,player,3,161,1
9,player,3,85,2
9,player,3,46,3
9,dealer,3,75,2
9,dealer,3,80,2
9,dealer,3,39,3
9,player,3,35,3
9,player,3,43,3
9,dealer,3,38,3
9,dealer,3,51,3
9,dealer,4,319,2
9,dealer,4,349,3
9,dealer,4,332,1
10,dealer,1,339,1
10,player,1,348,2
10,dealer,1,154,3
10,player,1,159,3
10,dealer,2,180,2
10,player,2,193,2
10,player,2,164,3
10,dealer,2,62,3
10,player,2,323,1
10,player,2,78,3
10,dealer,3,44,3
10,player,3,32,3
10,player,3,83,2
10,dealer,3,179,1
10,dealer,3,46,3
10,player,3,45,3
10,dealer,3,72,2
10,player,3,166,1
10,dealer,3,85,2
10,player,3,45,3
10,player,3,81,2
10,player,3,40,3
10,dealer,3,44,3
10,dealer,3,38,3
10,dealer,4,347,1
10,dealer,4,335,3
10,dealer,4,318,2
11,player,1,189,3
11,player,1,318,2
11,dealer,1,320,1
11,dealer,1,173,3
11,player,2,348,1
11,player,2,169,2
11,player,2,173,3
11,dealer,2,76,3
11,dealer,2,152,2
11,player,2,82,3
11,player,3,96,2
11,player,3,85,2
11,dealer,3,171,1
11,dealer,3,50,3
11,dealer,3,34,3
11,player,3,45,3
11,player,3,173,1
11,player,3,42,3
11,player,3,43,3
11,dealer,3,80,2
