eval_i,winner,strategy,total,rounds
1,dealer,1,313,1
1,dealer,1,129,3
1,player,1,6,1
1,player,1,4,3
1,player,1,325,2
1,player,1,175,3
1,player,1,2,3
1,player,1,3,2
1,dealer,1,6,2
1,player,1,3,3
1,player,1,3,1
1,dealer,1,11,1
1,player,1,1,3
1,dealer,1,4,3
1,player,1,4,2
1,dealer,1,2,2
1,player,1,4,3
1,player,1,2,3
1,player,1,2,2
1,dealer,1,1,3
1,player,2,149,3
1,player,2,313,1
1,dealer,2,165,2
1,player,2,160,2
1,player,2,8,3
1,player,2,82,3
1,dealer,2,69,3
1,dealer,2,9,1
1,player,2,3,2
1,player,2,3,3
1,player,2,15,2
1,player,2,3,3
1,player,2,2,2
1,player,2,8,1
1,dealer,2,3,3
1,player,2,1,3
1,dealer,2,1,1
1,player,2,1,2
1,player,2,1,3
1,dealer,3,78,2
1,player,3,40,3
1,dealer,3,152,1
1,dealer,3,50,3
1,player,3,38,3
1,player,3,169,1
1,dealer,3,70,2
1,player,3,93,2
1,dealer,3,41,3
1,dealer,3,40,3
1,player,3,76,2
1,dealer,3,53,3
1,player,3,36,3
1,player,3,36,3
1,dealer,3,5,1
1,player,3,4,1
1,player,3,3,2
1,dealer,3,1,2
1,player,3,1,3
1,player,3,1,1
1,player,3,2,2
1,player,3,2,2
1,dealer,3,2,2
1,player,3,1,1
1,player,3,2,3
1,dealer,4,332,2
1,dealer,4,313,3
1,dealer,4,300,1
1,dealer,4,4,3
1,player,4,5,2
1,player,4,3,3
1,dealer,4,4,3
1,player,4,6,3
1,dealer,4,5,2
1,dealer,4,5,1
1,player,4,1,1
1,player,4,1,2
1,player,4,6,1
1,player,4,5,2
1,player,4,2,2
1,dealer,4,1,3
1,player,4,1,3
1,player,4,2,1
1,player,4,1,3
1,dealer,4,2,3
2,player,1,319,2
2,dealer,1,332,1
2,dealer,1,167,3
2,dealer,1,9,1
2,player,1,136,3
2,dealer,1,2,2
2,player,1,4,3
2,player,1,2,3
2,player,1,1,1
2,dealer,1,3,2
2,player,1,3,2
2,player,1,1,3
2,player,1,1,2
2,dealer,1,5,3
2,dealer,1,1,3
2,dealer,1,1,2
2,player,1,5,2
2,player,1,1,3
2,player,1,2,1
2,player,1,1,3
2,player,1,1,1
2,player,1,1,3
2,dealer,2,152,2
2,dealer,2,10,3
2,dealer,2,81,3
2,player,2,310,1
2,player,2,78,3
2,player,2,154,2
2,player,2,153,3
2,player,2,10,1
2,player,2,8,2
2,player,2,4,3
2,dealer,2,2,3
2,player,2,4,2
2,dealer,2,9,1
2,dealer,2,5,2
2,player,2,4,2
2,player,2,2,3
2,player,2,2,2
2,player,2,5,3
2,player,2,1,3
2,dealer,2,2,1
2,player,2,1,1
2,player,2,1,3
2,player,3,80,2
2,dealer,3,37,3
2,dealer,3,173,1
2,dealer,3,67,2
2,player,3,51,3
2,player,3,45,3
2,player,3,145,1
2,dealer,3,39,3
2,player,3,92,2
2,dealer,3,36,3
2,dealer,3,8,1
2,dealer,3,82,2
2,player,3,40,3
2,dealer,3,39,3
2,player,3,44,3
2,player,3,5,1
2,player,3,1,2
2,player,3,2,1
2,player,3,2,2
2,player,3,1,2
2,player,3,2,1
2,player,3,2,3
2,dealer,3,1,3
2,player,3,1,3
2,dealer,3,2,3
2,dealer,4,339,1
2,dealer,4,315,3
2,dealer,4,307,2
2,player,4,2,1
2,player,4,4,1
2,dealer,4,1,3
2,dealer,4,9,1
2,player,4,5,2
2,dealer,4,3,2
2,player,4,2,2
2,player,4,1,3
2,dealer,4,3,2
2,dealer,4,1,3
2,player,4,1,3
2,player,4,1,3
2,dealer,4,1,3
2,player,4,1,3
2,player,4,1,1
3,player,1,333,2
3,player,1,148,3
3,dealer,1,153,3
3,dealer,1,315,1
3,player,1,4,1
3,dealer,1,13,1
3,player,1,1,1
3,player,1,4,2
3,dealer,1,1,2
3,player,1,5,2
3,dealer,1,1,2
3,dealer,1,2,2
3,dealer,1,1,3
3,player,1,2,3
3,player,1,4,1
3,player,1,1,1
3,player,1,1,3
3,player,1,1,3
3,dealer,1,2,3
3,player,1,2,3
3,dealer,2,156,2
3,player,2,343,1
3,player,2,164,3
3,dealer,2,72,3
3,player,2,82,3
3,player,2,139,2
3,player,2,9,1
3,player,2,7,2
3,player,2,2,3
3,dealer,2,5,3
3,dealer,2,6,1
3,player,2,2,2
3,dealer,2,3,2
3,player,2,2,3
3,dealer,2,1,1
3,player,2,2,3
3,player,2,2,2
3,player,2,1,3
3,player,2,1,3
3,dealer,3,40,3
3,dealer,3,162,1
3,dealer,3,71,2
3,dealer,3,86,2
3,player,3,156,1
3,player,3,79,2
3,player,3,46,3
3,player,3,38,3
3,player,3,9,1
3,dealer,3,43,3
3,player,3,84,2
3,dealer,3,25,3
3,player,3,47,3
3,dealer,3,7,1
3,player,3,42,3
3,dealer,3,45,3
3,player,3,1,3
3,dealer,3,1,2
3,player,3,3,2
3,player,3,1,3
3,player,3,1,3
3,dealer,3,2,2
3,player,3,2,2
3,player,3,1,2
3,player,3,1,3
3,player,3,1,1
3,player,3,1,3
3,player,3,1,3
3,player,3,1,2
3,dealer,4,295,3
3,dealer,4,323,2
3,dealer,4,336,1
3,player,4,3,3
3,dealer,4,7,3
3,player,4,3,2
3,dealer,4,4,1
3,player,4,1,3
3,player,4,2,2
3,player,4,1,2
3,player,4,3,1
3,player,4,3,2
3,player,4,2,3
3,dealer,4,5,2
3,player,4,1,2
3,dealer,4,2,2
3,dealer,4,2,3
3,player,4,1,1
3,player,4,1,1
3,dealer,4,2,3
3,dealer,4,1,3
4,player,1,321,2
4,dealer,1,158,3
4,dealer,1,296,1
4,player,1,6,1
4,player,1,159,3
4,dealer,1,13,1
4,dealer,1,5,2
4,player,1,4,3
4,dealer,1,2,3
4,player,1,4,2
4,player,1,3,3
4,player,1,3,3
4,player,1,3,1
4,player,1,3,3
4,dealer,1,2,2
4,player,1,4,2
4,player,1,3,1
4,player,1,4,3
4,player,1,2,3
4,dealer,1,1,2
4,player,2,349,1
4,player,2,5,1
4,player,2,143,2
4,dealer,2,153,2
4,player,2,73,3
4,player,2,167,3
4,dealer,2,70,3
4,dealer,2,5,1
4,dealer,2,1,3
4,player,2,11,2
4,dealer,2,3,2
4,player,2,4,3
4,player,2,1,2
4,player,2,3,3
4,player,2,2,3
4,dealer,2,2,3
4,player,2,1,3
4,player,2,1,2
4,player,2,1,3
4,dealer,3,157,1
4,dealer,3,52,3
4,player,3,32,3
4,dealer,3,39,3
4,player,3,186,1
4,dealer,3,41,3
4,player,3,38,3
4,player,3,76,2
4,player,3,76,2
4,dealer,3,74,2
4,player,3,42,3
4,player,3,5,1
4,dealer,3,9,1
4,dealer,3,76,2
4,player,3,1,3
4,player,3,44,3
4,dealer,3,39,3
4,player,3,2,2
4,player,3,1,3
4,dealer,3,1,2
4,player,3,1,1
4,player,3,1,2
4,player,3,1,1
4,dealer,3,2,2
4,dealer,4,306,2
4,dealer,4,307,3
4,dealer,4,326,1
4,dealer,4,7,1
4,player,4,3,2
4,player,4,2,1
4,player,4,5,3
4,player,4,6,2
4,player,4,7,1
4,dealer,4,1,3
4,dealer,4,1,3
4,dealer,4,5,3
4,player,4,2,1
4,player,4,1,3
4,dealer,4,6,3
4,player,4,2,2
4,player,4,1,2
4,dealer,4,1,2
4,dealer,4,3,2
4,player,4,1,3
4,player,4,1,2
4,player,4,1,3
5,player,1,318,2
5,dealer,1,142,3
5,player,1,152,3
5,dealer,1,340,1
5,dealer,1,6,2
5,dealer,1,1,2
5,player,1,2,1
5,dealer,1,7,1
5,player,1,1,3
5,dealer,1,2,3
5,player,1,1,3
5,player,1,4,1
5,player,1,3,1
5,player,1,3,3
5,player,1,4,2
5,dealer,1,1,2
5,player,1,2,3
5,player,1,2,3
5,player,1,1,2
5,dealer,1,1,3
5,player,1,3,2
5,player,1,1,1
5,dealer,2,174,2
5,player,2,150,2
5,player,2,325,1
5,player,2,76,3
5,player,2,146,3
5,dealer,2,86,3
5,dealer,2,2,2
5,dealer,2,9,1
5,player,2,9,2
5,player,2,5,3
5,player,2,6,1
5,dealer,2,1,3
5,dealer,2,1,3
5,player,2,3,2
5,player,2,3,1
5,player,2,2,2
5,dealer,2,1,1
5,player,2,1,3
5,player,3,9,1
5,player,3,41,3
5,dealer,3,160,1
5,dealer,3,40,3
5,player,3,40,3
5,dealer,3,91,2
5,player,3,176,1
5,player,3,81,2
5,dealer,3,41,3
5,player,3,36,3
5,dealer,3,4,1
5,player,3,102,2
5,dealer,3,59,2
5,dealer,3,35,3
5,dealer,3,31,3
5,player,3,37,3
5,player,3,2,1
5,player,3,1,2
5,dealer,3,1,3
5,player,3,1,2
5,player,3,1,3
5,player,3,1,2
5,dealer,3,1,2
5,player,3,1,3
5,player,3,1,1
5,dealer,3,1,2
5,player,3,1,2
5,player,3,1,3
5,dealer,4,331,1
5,dealer,4,313,3
5,dealer,4,296,2
5,dealer,4,15,1
5,player,4,5,2
5,player,4,3,2
5,dealer,4,4,3
5,dealer,4,3,3
5,player,4,2,3
5,dealer,4,4,2
5,player,4,5,1
5,player,4,7,1
5,player,4,1,1
5,player,4,1,3
5,dealer,4,2,3
5,dealer,4,1,3
5,player,4,1,2
5,player,4,1,3
5,dealer,4,1,2
6,dealer,1,321,1
6,player,1,161,3
6,player,1,308,2
6,dealer,1,149,3
6,dealer,1,2,2
6,dealer,1,11,1
6,player,1,5,2
6,dealer,1,3,3
6,player,1,9,3
6,player,1,2,3
6,player,1,6,1
6,player,1,1,1
6,dealer,1,1,3
6,player,1,3,2
6,player,1,3,1
6,player,1,2,1
6,player,1,3,3
6,player,1,2,3
6,dealer,1,1,2
6,player,1,1,2
6,player,1,1,3
6,player,2,352,1
6,player,2,158,3
6,player,2,144,2
6,dealer,2,77,3
6,player,2,72,3
6,dealer,2,158,2
6,player,2,5,1
6,player,2,2,3
6,player,2,11,2
6,player,2,1,3
6,player,2,2,2
6,dealer,2,6,3
6,dealer,2,1,1
6,dealer,2,2,1
6,dealer,2,4,2
6,player,2,1,2
6,player,3,67,2
6,dealer,3,168,1
6,dealer,3,58,3
6,player,3,162,1
6,player,3,39,3
6,dealer,3,43,3
6,player,3,62,2
6,player,3,45,3
6,player,3,44,3
6,dealer,3,72,2
6,dealer,3,84,2
6,dealer,3,7,1
6,player,3,50,3
6,dealer,3,30,3
6,dealer,3,43,3
6,player,3,3,1
6,player,3,1,3
6,dealer,3,1,2
6,dealer,3,3,2
6,player,3,7,1
6,player,3,1,2
6,player,3,2,1
6,player,3,1,2
6,player,3,1,2
6,dealer,3,1,3
6,player,3,1,3
6,player,3,1,3
6,player,3,1,2
6,dealer,4,309,2
6,dealer,4,312,3
6,dealer,4,318,1
6,player,4,1,1
6,dealer,4,8,3
6,player,4,3,1
6,dealer,4,2,3
6,player,4,4,3
6,dealer,4,11,1
6,player,4,3,2
6,player,4,6,2
6,dealer,4,6,2
6,player,4,2,3
6,player,4,1,3
6,player,4,2,3
