eval_i,winner,strategy,total,rounds
1,dealer,1,147,3
1,dealer,1,302,1
1,player,1,280,2
1,player,1,14,1
1,player,1,12,2
1,player,1,15,3
1,player,1,136,3
1,dealer,1,9,2
1,dealer,1,1,3
1,dealer,1,8,2
1,dealer,1,18,1
1,player,1,6,2
1,player,1,1,3
1,player,1,3,3
1,player,1,9,3
1,dealer,1,2,2
1,player,1,4,3
1,player,1,3,2
1,dealer,1,2,3
1,player,1,3,1
1,player,2,158,2
1,dealer,2,146,2
1,player,2,301,1
1,player,2,10,3
1,dealer,2,74,3
1,player,2,74,3
1,player,2,128,3
1,player,2,32,1
1,player,2,12,2
1,dealer,2,11,1
1,dealer,2,8,3
1,player,2,13,2
1,dealer,2,10,2
1,dealer,2,1,3
1,dealer,2,1,3
1,player,2,2,3
1,dealer,2,1,1
1,player,2,1,3
1,player,3,68,2
1,dealer,3,173,1
1,dealer,3,1,3
1,dealer,3,34,3
1,player,3,67,2
1,dealer,3,74,2
1,dealer,3,4,2
1,player,3,22,1
1,dealer,3,41,3
1,dealer,3,71,2
1,player,3,150,1
1,dealer,3,28,3
1,dealer,3,40,3
1,player,3,39,3
1,dealer,3,6,2
1,player,3,31,3
1,player,3,12,2
1,player,3,37,3
1,player,3,41,3
1,player,3,1,3
1,dealer,3,17,1
1,dealer,3,1,3
1,player,3,6,2
1,dealer,3,1,3
1,dealer,4,297,1
1,dealer,4,286,2
1,dealer,4,289,3
1,dealer,4,14,2
1,dealer,4,11,2
1,dealer,4,14,1
1,player,4,6,3
1,player,4,7,2
1,dealer,4,6,3
1,player,4,9,2
1,dealer,4,7,3
1,dealer,4,6,3
1,player,4,10,1
1,player,4,4,3
1,player,4,1,2
1,dealer,4,2,3
1,player,4,1,1
1,player,4,1,3
2,dealer,1,292,1
2,player,1,289,2
2,dealer,1,9,1
2,player,1,145,3
2,dealer,1,131,3
2,dealer,1,6,2
2,player,1,7,2
2,player,1,18,1
2,player,1,25,3
2,player,1,3,1
2,dealer,1,6,3
2,player,1,4,3
2,player,1,7,3
2,player,1,11,2
2,player,1,2,2
2,dealer,1,9,2
2,dealer,1,1,2
2,player,1,2,3
2,dealer,1,1,3
2,player,1,1,3
2,dealer,1,1,2
2,player,2,323,1
2,dealer,2,148,2
2,player,2,143,3
2,player,2,141,2
2,player,2,74,3
2,dealer,2,68,3
2,dealer,2,7,3
2,player,2,2,3
2,player,2,19,1
2,dealer,2,10,2
2,dealer,2,6,1
2,dealer,2,3,1
2,player,2,7,2
2,player,2,6,3
2,player,2,10,2
2,dealer,2,2,3
2,player,2,2,3
2,player,3,178,1
2,dealer,3,142,1
2,dealer,3,82,2
2,dealer,3,32,3
2,dealer,3,73,2
2,dealer,3,36,3
2,dealer,3,30,3
2,player,3,74,2
2,player,3,30,3
2,dealer,3,6,2
2,dealer,3,2,3
2,dealer,3,37,3
2,player,3,41,3
2,player,3,44,3
2,player,3,74,2
2,player,3,24,1
2,player,3,25,3
2,dealer,3,19,1
2,dealer,3,9,2
2,player,3,7,2
2,player,3,4,2
2,dealer,3,1,3
2,dealer,4,262,3
2,dealer,4,305,1
2,dealer,4,298,2
2,player,4,9,2
2,dealer,4,2,3
2,player,4,17,1
2,dealer,4,15,2
2,player,4,5,1
2,dealer,4,3,3
2,dealer,4,2,3
2,dealer,4,17,1
2,player,4,6,3
2,dealer,4,6,3
2,player,4,9,2
2,dealer,4,4,2
2,player,4,4,3
2,player,4,1,2
2,dealer,4,1,3
2,player,4,2,2
3,player,1,7,3
3,player,1,287,2
3,dealer,1,325,1
3,dealer,1,133,3
3,player,1,3,3
3,player,1,126,3
3,dealer,1,12,1
3,player,1,16,3
3,player,1,5,1
3,player,1,19,1
3,player,1,4,3
3,dealer,1,5,2
3,dealer,1,11,2
3,dealer,1,1,3
3,player,1,12,2
3,dealer,1,2,2
3,player,1,3,2
3,dealer,1,2,2
3,player,1,1,3
3,dealer,1,1,3
3,dealer,1,1,3
3,dealer,2,137,2
3,player,2,128,2
3,player,2,305,1
3,player,2,2,2
3,player,2,29,1
3,player,2,156,3
3,dealer,2,72,3
3,player,2,77,3
3,dealer,2,5,3
3,player,2,19,2
3,player,2,11,2
3,player,2,1,3
3,dealer,2,9,2
3,player,2,8,3
3,player,2,2,3
3,dealer,2,8,1
3,dealer,2,3,1
3,player,3,75,2
3,player,3,156,1
3,player,3,42,3
3,dealer,3,164,1
3,player,3,62,2
3,player,3,49,3
3,dealer,3,57,2
3,player,3,34,3
3,dealer,3,74,2
3,dealer,3,40,3
3,dealer,3,39,3
3,dealer,3,15,1
3,player,3,44,3
3,dealer,3,44,3
3,dealer,3,42,3
3,dealer,3,3,2
3,dealer,3,2,2
3,dealer,3,3,3
3,player,3,14,1
3,player,3,6,2
3,player,3,7,2
3,player,3,1,3
3,dealer,4,319,1
3,player,4,7,1
3,dealer,4,275,2
3,dealer,4,263,3
3,dealer,4,20,2
3,player,4,5,3
3,player,4,15,1
3,player,4,6,2
3,dealer,4,4,2
3,dealer,4,4,3
3,dealer,4,12,1
3,dealer,4,12,3
3,player,4,5,2
3,player,4,2,2
3,dealer,4,4,3
3,dealer,4,10,3
3,player,4,1,2
3,player,4,3,3
3,player,4,1,3
3,dealer,4,1,2
4,player,1,279,2
4,dealer,1,319,1
4,player,1,123,3
4,dealer,1,129,3
4,dealer,1,9,2
4,player,1,11,3
4,dealer,1,14,1
4,player,1,16,2
4,player,1,7,2
