eval_i,winner,strategy,total,rounds
1,player,1,355,2
1,dealer,1,333,1
1,player,1,156,3
1,dealer,1,156,3
1,player,2,178,3
1,player,2,172,2
1,player,2,336,1
1,dealer,2,84,3
1,dealer,2,157,2
1,player,2,73,3
1,dealer,3,181,1
1,player,3,83,2
1,player,3,182,1
1,dealer,3,82,2
1,dealer,3,42,3
1,player,3,84,2
1,player,3,40,3
1,player,3,36,3
1,player,3,46,3
1,dealer,3,42,3
1,dealer,3,34,3
1,dealer,3,82,2
1,player,3,36,3
1,dealer,3,30,3
1,dealer,4,336,2
1,dealer,4,342,3
1,dealer,4,322,1
2,player,1,312,2
2,dealer,1,350,1
2,dealer,1,166,3
2,player,1,172,3
2,dealer,2,157,2
2,player,2,150,3
2,player,2,171,2
2,player,2,350,1
2,dealer,2,91,3
2,player,2,81,3
2,dealer,3,86,2
2,dealer,3,43,3
2,dealer,3,162,1
2,player,3,51,3
2,dealer,3,49,3
2,player,3,169,1
2,player,3,70,2
2,dealer,3,39,3
2,player,3,83,2
2,dealer,3,75,2
2,player,3,53,3
2,player,3,47,3
2,player,3,33,3
2,dealer,3,40,3
2,dealer,4,317,2
2,dealer,4,348,1
2,dealer,4,335,3
3,dealer,1,190,3
3,player,1,168,3
3,dealer,1,329,1
3,player,1,313,2
3,dealer,2,157,2
3,player,2,349,1
3,player,2,94,3
3,player,2,168,2
3,player,2,145,3
3,dealer,2,87,3
3,dealer,3,46,3
3,dealer,3,159,1
3,player,3,167,1
3,player,3,37,3
3,player,3,91,2
3,dealer,3,89,2
3,player,3,86,2
3,dealer,3,78,2
3,player,3,49,3
3,dealer,3,51,3
3,dealer,3,40,3
3,player,3,40,3
3,dealer,3,30,3
3,player,3,37,3
3,dealer,4,325,2
3,dealer,4,326,1
3,dealer,4,349,3
4,player,1,173,3
4,dealer,1,349,1
4,player,1,316,2
4,dealer,1,162,3
4,player,2,78,3
4,dealer,2,77,3
4,player,2,329,1
4,player,2,176,2
4,dealer,2,180,2
4,player,2,160,3
4,player,3,36,3
4,player,3,82,2
4,dealer,3,83,2
4,dealer,3,42,3
4,dealer,3,82,2
4,dealer,3,181,1
4,player,3,46,3
4,player,3,69,2
4,dealer,3,45,3
4,player,3,42,3
4,dealer,3,41,3
4,player,3,59,3
4,player,3,148,1
4,dealer,3,44,3
4,dealer,4,331,2
4,dealer,4,321,1
4,dealer,4,348,3
5,dealer,1,320,1
5,player,1,182,3
5,player,1,339,2
5,dealer,1,159,3
5,player,2,151,2
5,player,2,85,3
5,player,2,362,1
5,player,2,164,3
5,dealer,2,77,3
5,dealer,2,161,2
5,dealer,3,77,2
5,dealer,3,176,1
5,dealer,3,82,2
5,player,3,92,2
5,dealer,3,33,3
5,player,3,45,3
5,player,3,176,1
5,player,3,71,2
5,player,3,39,3
5,dealer,3,42,3
5,player,3,41,3
5,dealer,3,49,3
5,dealer,3,36,3
5,player,3,41,3
5,dealer,4,329,1
5,dealer,4,335,3
5,dealer,4,336,2
6,player,1,162,3
6,dealer,1,312,1
6,player,1,371,2
6,dealer,1,155,3
6,player,2,349,1
6,player,2,85,3
6,player,2,140,2
6,dealer,2,84,3
6,player,2,171,3
6,dealer,2,171,2
6,dealer,3,70,2
6,dealer,3,170,1
6,player,3,177,1
6,dealer,3,99,2
6,player,3,42,3
6,player,3,84,2
6,player,3,45,3
6,dealer,3,54,3
6,dealer,3,34,3
6,dealer,3,31,3
6,player,3,36,3
6,player,3,38,3
6,player,3,72,2
6,dealer,3,48,3
6,dealer,4,340,2
6,dealer,4,340,3
6,dealer,4,320,1
7,dealer,1,357,1
7,player,1,308,2
7,dealer,1,169,3
7,player,1,166,3
7,dealer,2,152,2
7,player,2,162,2
7,player,2,330,1
7,player,2,84,3
7,player,2,192,3
7,dealer,2,80,3
7,dealer,3,86,2
7,dealer,3,169,1
7,player,3,173,1
7,dealer,3,87,2
7,player,3,41,3
7,player,3,44,3
7,dealer,3,42,3
7,dealer,3,45,3
7,dealer,3,59,3
7,player,3,40,3
7,player,3,69,2
7,player,3,72,2
7,player,3,39,3
7,dealer,3,34,3
7,dealer,4,350,3
7,dealer,4,333,1
7,dealer,4,317,2
8,player,1,323,2
8,dealer,1,171,3
8,dealer,1,345,1
8,player,1,161,3
8,player,2,86,3
8,dealer,2,78,3
8,dealer,2,170,2
8,player,2,319,1
8,player,2,161,3
8,player,2,186,2
8,player,3,72,2
8,player,3,86,2
8,dealer,3,31,3
8,dealer,3,77,2
8,dealer,3,80,2
8,player,3,172,1
8,dealer,3,47,3
8,player,3,40,3
8,player,3,37,3
8,dealer,3,53,3
8,player,3,44,3
8,dealer,3,173,1
8,dealer,3,48,3
8,player,3,40,3
8,dealer,4,306,1
8,dealer,4,360,3
8,dealer,4,334,2
9,player,1,350,2
9,dealer,1,313,1
9,dealer,1,175,3
9,player,1,162,3
9,player,2,332,1
9,player,2,183,2
9,dealer,2,162,2
9,player,2,170,3
9,dealer,2,86,3
9,player,2,67,3
9,player,3,81,2
9,player,3,168,1
9,player,3,82,2
9,player,3,48,3
9,dealer,3,88,2
9,dealer,3,159,1
9,player,3,45,3
9,dealer,3,40,3
9,dealer,3,92,2
9,player,3,41,3
9,dealer,3,32,3
9,dealer,3,49,3
9,player,3,43,3
9,dealer,3,32,3
9,dealer,4,342,3
9,dealer,4,358,1
9,dealer,4,300,2
10,player,1,329,2
10,player,1,147,3
10,dealer,1,166,3
10,dealer,1,358,1
10,dealer,2,85,3
10,dealer,2,165,2
10,player,2,166,3
10,player,2,356,1
10,player,2,159,2
10,player,2,69,3
10,player,3,73,2
10,dealer,3,45,3
10,dealer,3,48,3
10,player,3,167,1
10,dealer,3,176,1
10,dealer,3,46,3
10,player,3,44,3
10,dealer,3,95,2
10,player,3,38,3
10,player,3,77,2
10,dealer,3,66,2
10,dealer,3,39,3
10,player,3,41,3
10,player,3,45,3
10,dealer,4,329,2
10,dealer,4,347,1
10,dealer,4,324,3
11,player,1,296,2
11,dealer,1,351,1
11,player,1,154,3
11,dealer,1,199,3
11,dealer,2,172,2
11,player,2,74,3
11,dealer,2,87,3
11,player,2,327,1
11,player,2,188,2
11,player,2,152,3
11,player,3,165,1
11,player,3,98,2
11,dealer,3,44,3
11,dealer,3,174,1
11,player,3,41,3
11,player,3,97,2
11,dealer,3,79,2
11,dealer,3,42,3
11,dealer,3,83,2
11,player,3,40,3
11,dealer,3,40,3
11,player,3,32,3
11,dealer,3,32,3
11,player,3,33,3
11,dealer,4,315,1
11,dealer,4,321,3
11,dealer,4,364,2
12,dealer,1,310,1
12,player,1,348,2
12,dealer,1,178,3
12,player,1,164,3
12,player,2,338,1
12,player,2,80,3
12,dealer,2,163,2
12,player,2,165,3
12,player,2,174,2
12,dealer,2,80,3
12,player,3,45,3
12,player,3,37,3
12,player,3,162,1
12,dealer,3,168,1
12,player,3,89,2
12,player,3,44,3
12,player,3,77,2
12,dealer,3,83,2
12,dealer,3,45,3
12,dealer,3,87,2
12,dealer,3,41,3
12,dealer,3,36,3
12,dealer,3,34,3
12,player,3,52,3
12,dealer,4,328,2
12,dealer,4,357,1
12,dealer,4,315,3
13,player,1,354,2
13,dealer,1,313,1
13,dealer,1,159,3
13,player,1,174,3
13,player,2,196,2
13,player,2,80,3
13,player,2,161,3
13,player,2,340,1
13,dealer,2,146,2
13,dealer,2,77,3
13,player,3,34,3
13,player,3,103,2
13,player,3,85,2
13,player,3,145,1
13,dealer,3,44,3
13,dealer,3,158,1
13,player,3,45,3
13,dealer,3,87,2
13,player,3,46,3
13,dealer,3,93,2
13,dealer,3,36,3
13,dealer,3,40,3
13,dealer,3,44,3
13,player,3,40,3
13,dealer,4,330,1
13,dealer,4,331,3
13,dealer,4,339,2
14,dealer,1,196,3
14,dealer,1,317,1
14,player,1,328,2
14,player,1,159,3
14,player,2,173,2
14,dealer,2,89,3
14,player,2,146,3
14,player,2,311,1
14,player,2,87,3
14,dealer,2,194,2
14,dealer,3,166,1
14,dealer,3,86,2
14,player,3,54,3
14,player,3,174,1
14,dealer,3,36,3
14,player,3,78,2
14,dealer,3,48,3
14,dealer,3,31,3
14,player,3,82,2
14,dealer,3,84,2
14,player,3,47,3
14,player,3,37,3
14,player,3,39,3
14,dealer,3,38,3
14,dealer,4,343,1
14,dealer,4,319,2
14,dealer,4,338,3
15,player,1,170,3
15,dealer,1,159,3
15,dealer,1,345,1
15,player,1,326,2
15,dealer,2,176,2
15,player,2,356,1
15,dealer,2,82,3
15,player,2,158,3
15,player,2,90,3
15,player,2,138,2
15,dealer,3,57,3
15,player,3,81,2
15,dealer,3,76,2
15,dealer,3,38,3
15,player,3,179,1
15,dealer,3,168,1
15,dealer,3,35,3
15,player,3,92,2
15,player,3,34,3
15,dealer,3,82,2
15,player,3,49,3
15,player,3,40,3
15,dealer,3,36,3
15,player,3,33,3
15,dealer,4,308,1
15,dealer,4,343,3
15,dealer,4,349,2
16,player,1,346,2
16,dealer,1,330,1
16,player,1,158,3
16,dealer,1,166,3
16,dealer,2,84,3
16,player,2,192,2
16,player,2,160,3
16,player,2,325,1
16,dealer,2,162,2
16,player,2,77,3
16,player,3,31,3
16,player,3,64,2
16,dealer,3,45,3
16,player,3,173,1
16,dealer,3,87,2
16,dealer,3,178,1
16,player,3,44,3
16,player,3,67,2
16,dealer,3,44,3
16,dealer,3,49,3
16,dealer,3,79,2
16,player,3,50,3
16,dealer,3,50,3
16,player,3,39,3
16,dealer,4,331,2
