eval_i,winner,strategy,total,rounds
1,player,1,344,2
1,player,1,179,3
1,dealer,1,313,1
1,dealer,1,164,3
1,player,2,334,1
1,player,2,183,3
1,player,2,155,2
1,dealer,2,161,2
1,player,2,74,3
1,dealer,2,93,3
1,dealer,3,81,2
1,player,3,91,2
1,dealer,3,51,3
1,dealer,3,65,2
1,dealer,3,176,1
1,dealer,3,27,3
1,player,3,168,1
1,player,3,101,2
1,player,3,43,3
1,player,3,47,3
1,dealer,3,42,3
1,player,3,39,3
1,dealer,3,34,3
1,player,3,35,3
1,dealer,4,350,2
1,dealer,4,325,3
1,dealer,4,325,1
2,dealer,1,285,1
2,player,1,353,2
2,player,1,198,3
2,dealer,1,164,3
2,player,2,165,3
2,player,2,164,2
2,player,2,327,1
2,player,2,87,3
2,dealer,2,173,2
2,dealer,2,84,3
2,player,3,84,2
2,player,3,34,3
2,dealer,3,178,1
2,player,3,161,1
2,player,3,90,2
2,player,3,45,3
2,dealer,3,42,3
2,dealer,3,85,2
2,player,3,35,3
2,player,3,55,3
2,dealer,3,70,2
2,dealer,3,38,3
2,dealer,3,38,3
2,dealer,3,45,3
2,dealer,4,322,2
2,dealer,4,347,3
2,dealer,4,331,1
3,dealer,1,317,1
3,player,1,159,3
3,player,1,352,2
3,dealer,1,172,3
3,player,2,343,1
3,player,2,173,2
3,dealer,2,163,2
3,player,2,161,3
3,player,2,73,3
3,dealer,2,87,3
3,dealer,3,152,1
3,player,3,179,1
3,dealer,3,91,2
3,player,3,39,3
3,player,3,78,2
3,dealer,3,91,2
3,player,3,79,2
3,dealer,3,36,3
3,dealer,3,46,3
3,dealer,3,42,3
3,player,3,42,3
3,player,3,39,3
3,dealer,3,44,3
3,player,3,42,3
3,dealer,4,337,3
3,dealer,4,340,2
3,dealer,4,323,1
4,dealer,1,335,1
4,player,1,316,2
4,player,1,178,3
4,dealer,1,171,3
4,player,2,343,1
4,dealer,2,171,2
4,dealer,2,91,3
4,player,2,163,3
4,player,2,154,2
4,player,2,78,3
4,player,3,164,1
4,dealer,3,41,3
4,player,3,83,2
4,player,3,48,3
4,dealer,3,161,1
4,dealer,3,45,3
4,dealer,3,52,3
4,dealer,3,32,3
4,player,3,87,2
4,player,3,34,3
4,dealer,3,84,2
4,dealer,3,91,2
4,player,3,43,3
4,player,3,35,3
4,dealer,4,335,2
4,dealer,4,331,1
4,dealer,4,334,3
5,player,1,176,3
5,dealer,1,155,3
5,dealer,1,337,1
5,player,1,332,2
5,player,2,338,1
5,player,2,159,3
5,player,2,183,2
5,dealer,2,76,3
5,player,2,85,3
5,dealer,2,159,2
5,player,3,48,3
5,dealer,3,168,1
5,dealer,3,80,2
5,player,3,41,3
5,dealer,3,40,3
5,player,3,42,3
5,dealer,3,104,2
5,player,3,48,3
5,player,3,74,2
5,dealer,3,33,3
5,player,3,68,2
5,dealer,3,45,3
5,player,3,176,1
5,dealer,3,33,3
5,dealer,4,334,1
5,dealer,4,338,3
5,dealer,4,328,2
6,player,1,332,2
6,dealer,1,169,3
6,player,1,180,3
6,dealer,1,319,1
6,dealer,2,166,2
6,player,2,182,2
6,player,2,135,3
6,player,2,357,1
6,dealer,2,80,3
6,player,2,80,3
6,dealer,3,105,2
6,dealer,3,173,1
6,dealer,3,85,2
6,player,3,70,2
6,player,3,49,3
6,player,3,151,1
6,player,3,50,3
6,dealer,3,44,3
6,player,3,48,3
6,dealer,3,49,3
6,dealer,3,43,3
6,player,3,71,2
6,player,3,31,3
6,dealer,3,31,3
6,dealer,4,325,2
6,dealer,4,321,1
6,dealer,4,354,3
7,dealer,1,161,3
7,player,1,316,2
7,player,1,169,3
7,dealer,1,354,1
7,dealer,2,148,2
7,player,2,325,1
7,player,2,170,3
7,dealer,2,83,3
7,player,2,95,3
7,player,2,179,2
7,dealer,3,91,2
7,dealer,3,74,2
7,dealer,3,40,3
7,player,3,180,1
7,player,3,39,3
7,dealer,3,164,1
7,player,3,74,2
7,player,3,91,2
7,player,3,51,3
7,dealer,3,37,3
7,player,3,36,3
7,player,3,38,3
7,dealer,3,47,3
7,dealer,3,38,3
7,dealer,4,337,3
7,dealer,4,318,2
7,dealer,4,345,1
8,player,1,328,2
8,dealer,1,184,3
8,dealer,1,320,1
8,player,1,168,3
8,player,2,184,2
8,player,2,168,3
8,dealer,2,83,3
8,player,2,77,3
8,dealer,2,162,2
8,player,2,326,1
8,player,3,180,1
8,dealer,3,161,1
8,player,3,74,2
8,dealer,3,85,2
8,dealer,3,38,3
8,player,3,55,3
8,player,3,76,2
8,player,3,47,3
8,dealer,3,55,3
8,dealer,3,69,2
8,dealer,3,42,3
8,player,3,44,3
8,dealer,3,39,3
8,player,3,35,3
8,dealer,4,331,3
8,dealer,4,342,2
8,dealer,4,327,1
9,player,1,346,2
9,player,1,153,3
9,dealer,1,340,1
9,dealer,1,161,3
9,player,2,347,1
9,dealer,2,158,2
9,dealer,2,75,3
9,player,2,175,3
9,player,2,171,2
9,player,2,74,3
9,dealer,3,75,2
9,player,3,83,2
9,player,3,43,3
9,dealer,3,165,1
9,dealer,3,46,3
9,player,3,91,2
9,player,3,178,1
9,dealer,3,85,2
9,dealer,3,51,3
9,player,3,33,3
9,player,3,43,3
9,player,3,36,3
9,dealer,3,40,3
9,dealer,3,31,3
9,dealer,4,343,1
9,dealer,4,335,3
9,dealer,4,322,2
10,dealer,1,336,1
10,player,1,328,2
10,dealer,1,161,3
10,player,1,175,3
10,player,2,177,3
10,player,2,70,3
10,dealer,2,177,2
10,player,2,177,2
10,dealer,2,87,3
10,player,2,312,1
10,player,3,168,1
10,dealer,3,85,2
10,dealer,3,169,1
10,player,3,89,2
10,dealer,3,44,3
10,player,3,29,3
10,player,3,83,2
10,dealer,3,47,3
10,dealer,3,31,3
10,dealer,3,48,3
10,player,3,48,3
10,dealer,3,72,2
10,player,3,46,3
10,player,3,41,3
10,dealer,4,346,2
10,dealer,4,336,3
10,dealer,4,318,1
11,dealer,1,176,3
