eval_i,winner,strategy,total,rounds
1,player,1,326,2
1,player,1,146,3
1,dealer,1,348,1
1,dealer,1,180,3
1,dealer,2,166,2
1,player,2,164,3
1,player,2,167,2
1,dealer,2,79,3
1,player,2,334,1
1,player,2,90,3
1,dealer,3,93,2
1,dealer,3,47,3
1,player,3,89,2
1,player,3,158,1
1,dealer,3,46,3
1,dealer,3,44,3
1,player,3,80,2
1,dealer,3,78,2
1,player,3,43,3
1,dealer,3,41,3
1,dealer,3,161,1
1,player,3,39,3
1,player,3,43,3
1,player,3,38,3
1,dealer,4,376,1
1,dealer,4,303,2
1,dealer,4,321,3
2,player,1,332,2
2,player,1,180,3
2,dealer,1,340,1
2,dealer,1,148,3
2,player,2,159,3
2,player,2,156,2
2,player,2,83,3
2,player,2,359,1
2,dealer,2,88,3
2,dealer,2,155,2
2,dealer,3,176,1
2,player,3,81,2
2,player,3,178,1
2,dealer,3,85,2
2,player,3,37,3
2,dealer,3,84,2
2,player,3,45,3
2,player,3,82,2
2,dealer,3,39,3
2,dealer,3,31,3
2,player,3,46,3
2,dealer,3,32,3
2,dealer,3,47,3
2,player,3,37,3
2,dealer,4,330,2
2,dealer,4,347,1
2,dealer,4,323,3
3,player,1,184,3
3,player,1,329,2
3,dealer,1,312,1
3,dealer,1,175,3
3,player,2,363,1
3,player,2,149,2
3,player,2,167,3
3,dealer,2,145,2
3,player,2,100,3
3,dealer,2,76,3
3,player,3,190,1
3,player,3,79,2
3,dealer,3,27,3
3,player,3,49,3
3,dealer,3,89,2
3,player,3,36,3
3,player,3,87,2
3,player,3,45,3
3,dealer,3,142,1
3,dealer,3,90,2
3,dealer,3,43,3
3,dealer,3,37,3
3,player,3,43,3
3,dealer,3,43,3
3,dealer,4,333,1
3,dealer,4,353,2
3,dealer,4,314,3
4,player,1,342,2
4,dealer,1,155,3
4,dealer,1,333,1
4,player,1,170,3
4,player,2,346,1
4,player,2,84,3
4,player,2,171,3
4,dealer,2,85,3
4,player,2,142,2
4,dealer,2,172,2
4,player,3,38,3
4,dealer,3,39,3
4,player,3,173,1
4,dealer,3,42,3
4,player,3,87,2
4,player,3,83,2
4,dealer,3,54,3
4,player,3,41,3
4,player,3,39,3
4,dealer,3,164,1
4,dealer,3,80,2
4,dealer,3,85,2
4,dealer,3,36,3
4,player,3,39,3
4,dealer,4,324,2
4,dealer,4,352,1
4,dealer,4,324,3
5,dealer,1,175,3
5,player,1,172,3
5,player,1,327,2
5,dealer,1,326,1
5,player,2,310,1
5,player,2,164,2
5,player,2,175,3
5,dealer,2,88,3
5,dealer,2,169,2
5,player,2,94,3
5,dealer,3,80,2
5,player,3,46,3
5,player,3,35,3
5,player,3,74,2
5,player,3,162,1
5,dealer,3,48,3
5,player,3,43,3
5,player,3,82,2
5,dealer,3,88,2
5,dealer,3,170,1
5,player,3,46,3
5,dealer,3,35,3
5,dealer,3,45,3
5,dealer,3,46,3
5,dealer,4,343,2
5,dealer,4,324,3
5,dealer,4,333,1
6,player,1,313,2
6,dealer,1,358,1
6,player,1,170,3
6,dealer,1,159,3
6,player,2,181,3
6,player,2,88,3
6,player,2,316,1
6,player,2,175,2
6,dealer,2,156,2
6,dealer,2,84,3
6,player,3,93,2
6,dealer,3,103,2
6,player,3,143,1
6,player,3,34,3
6,player,3,40,3
6,dealer,3,33,3
6,dealer,3,79,2
6,dealer,3,164,1
6,dealer,3,59,3
6,player,3,73,2
6,player,3,50,3
6,dealer,3,49,3
6,dealer,3,42,3
6,player,3,38,3
6,dealer,4,327,2
