eval_i,winner,strategy,total,rounds
1,dealer,1,347,1
1,dealer,1,156,3
1,player,1,320,2
1,player,1,177,3
1,player,2,170,3
1,player,2,87,3
1,player,2,313,1
1,dealer,2,94,3
1,dealer,2,170,2
1,player,2,166,2
1,dealer,3,97,2
1,dealer,3,60,3
1,dealer,3,150,1
1,player,3,154,1
1,dealer,3,48,3
1,dealer,3,77,2
1,player,3,48,3
1,dealer,3,41,3
1,player,3,81,2
1,player,3,38,3
1,player,3,45,3
1,dealer,3,44,3
1,player,3,81,2
1,player,3,36,3
1,dealer,4,317,3
1,dealer,4,353,2
1,dealer,4,330,1
2,dealer,1,158,3
2,dealer,1,351,1
2,player,1,320,2
2,player,1,171,3
2,player,2,341,1
2,dealer,2,80,3
2,player,2,160,2
2,player,2,176,3
2,player,2,94,3
2,dealer,2,149,2
2,dealer,3,70,2
2,dealer,3,182,1
2,dealer,3,93,2
2,dealer,3,40,3
2,player,3,50,3
2,dealer,3,41,3
2,player,3,76,2
2,player,3,71,2
2,player,3,158,1
2,player,3,43,3
2,player,3,48,3
2,dealer,3,42,3
2,dealer,3,42,3
2,player,3,44,3
2,dealer,4,324,3
2,dealer,4,327,2
2,dealer,4,349,1
3,dealer,1,330,1
3,player,1,330,2
3,player,1,168,3
3,dealer,1,172,3
3,player,2,162,3
3,dealer,2,174,2
3,player,2,166,2
3,dealer,2,86,3
3,player,2,78,3
3,player,2,334,1
3,player,3,172,1
3,dealer,3,166,1
3,player,3,85,2
3,dealer,3,52,3
3,dealer,3,49,3
3,dealer,3,77,2
3,dealer,3,87,2
3,player,3,84,2
3,dealer,3,42,3
3,player,3,37,3
3,player,3,45,3
3,player,3,38,3
3,player,3,35,3
3,dealer,3,31,3
3,dealer,4,325,1
3,dealer,4,339,2
3,dealer,4,336,3
4,dealer,1,332,1
4,player,1,170,3
4,player,1,333,2
4,dealer,1,165,3
4,dealer,2,156,2
4,player,2,152,3
4,player,2,170,2
4,player,2,350,1
4,dealer,2,85,3
4,player,2,87,3
4,dealer,3,34,3
4,player,3,175,1
4,dealer,3,50,3
4,player,3,87,2
4,dealer,3,162,1
4,player,3,82,2
4,dealer,3,71,2
4,dealer,3,47,3
4,dealer,3,84,2
4,player,3,46,3
4,dealer,3,38,3
4,player,3,48,3
4,player,3,37,3
4,player,3,39,3
4,dealer,4,329,2
4,dealer,4,338,3
4,dealer,4,333,1
5,dealer,1,330,1
5,player,1,333,2
5,dealer,1,176,3
5,player,1,161,3
5,player,2,359,1
5,player,2,179,3
5,player,2,170,2
5,dealer,2,139,2
5,player,2,80,3
5,dealer,2,73,3
5,player,3,179,1
5,dealer,3,85,2
5,player,3,41,3
5,player,3,86,2
5,dealer,3,40,3
5,player,3,88,2
5,dealer,3,168,1
5,player,3,29,3
5,dealer,3,78,2
5,player,3,31,3
5,dealer,3,55,3
5,player,3,35,3
5,dealer,3,36,3
5,dealer,3,49,3
5,dealer,4,328,2
